Latitude,Longitude,City,Population,Total officers,Total civilians,Violent crime,Murder and nonnegligent manslaughter,Aggravated assault,Burglary,Arson
34.063344,-117.65088899999999,Ontario,"170,274",234,87,547,3,296,897,32
36.624394,-119.313731,Orange Cove,"9,715",11,1,15,1,9,41,0
34.197506,-119.177053,Oxnard,"207,221",237,121,920,12,502,"1,103",24
37.613825,-122.486919,Pacifica,"39,531",33,2,68,0,33,138,3
36.617736,-121.916622,Pacific Grove,"15,734",14,10,7,0,3,51,0
33.830296999999995,-116.54529199999999,Palm Springs,"47,388",81,36,279,3,168,898,10
33.800571999999995,-118.390075,Palos Verdes Estates,"13,739",29,6,7,0,2,82,2
36.611616999999995,-119.527072,Parlier,"15,106",12,1,95,1,75,76,14
38.232417,-122.63665300000001,Petaluma,"60,450",59,21,244,0,163,206,14
37.824372,-122.23163600000001,Piedmont,"11,372",19,8,12,0,7,51,0
38.004366999999995,-122.29885800000001,Pinole,"19,284",23,12,72,0,42,109,2
38.027975,-121.884681,Pittsburg,"69,340",76,20,225,5,70,461,12
37.947978000000006,-122.060797,Pleasant Hill,"34,829",40,15,74,0,30,215,8
37.662431,-121.874678,Pleasanton,"79,611",79,32,86,0,33,232,5
36.065231,-119.01676699999999,Porterville,"55,760",56,24,186,2,131,314,1
34.180728,-119.20815800000001,Port Hueneme,"22,249",21,8,61,2,24,109,3
40.178489,-122.235831,Red Bluff,"14,045",22,10,118,0,80,221,3
40.586539,-122.391675,Redding,"92,020",98,31,614,2,417,769,11
34.055569,-117.18253899999999,Redlands,"71,078",79,36,212,2,102,514,14
33.849183000000004,-118.38840800000001,Redondo Beach,"68,492",85,54,185,2,94,348,0
37.485214,-122.236356,Redwood City,"84,415",88,25,190,1,73,362,10
36.596339,-119.45040300000001,Reedley,"25,711",27,15,174,1,140,138,3
34.1064,-117.370325,Rialto,"103,590",105,34,423,3,233,684,11
35.622456,-117.670897,Ridgecrest,"28,989",32,16,136,1,101,160,8
38.15575,-121.691344,Rio Vista,"8,250",11,1,32,0,32,31,0
37.739453000000005,-121.13541399999998,Ripon,"15,126",23,9,16,0,8,25,0
33.95335,-117.396156,Riverside,"323,064",368,147,"1,441",10,774,"1,633",71
38.790733,-121.23578300000001,Rocklin,"61,105",54,27,64,0,26,164,7
38.339636,-122.701097,Rohnert Park,"42,622",59,20,207,0,138,168,7
38.752122,-121.28800600000001,Roseville,"131,039",128,59,239,0,132,521,10
38.581571999999994,-121.4944,Sacramento,"489,717",646,303,"3,611",43,"2,289","3,713",140
36.677735999999996,-121.6555,Salinas,"158,185",122,53,"1,098",40,613,679,19
34.108344,-117.28976399999999,San Bernardino,"216,477",214,180,"2,697",44,"1,587","3,164",65
37.630489000000004,-122.411083,San Bruno,"43,499",47,15,105,0,65,166,6
36.617183000000004,-121.84828600000002,Sand City,339,9,1,13,2,5,5,1
32.715328,-117.157256,San Diego,"1,400,467","1,887",658,"5,582",37,"3,601","5,129",174
37.774931,-122.419417,San Francisco,"863,782","2,236",475,"6,710",53,"2,703","5,186",272
36.708006,-119.55596399999999,Sanger,"24,933",28,4,120,1,85,133,4
37.339386,-121.89495600000001,San Jose,"1,031,458",939,386,"3,400",30,"1,855","4,896",93
37.724931,-122.15607800000001,San Leandro,"90,438",91,43,412,1,168,501,11
35.282753,-120.659617,San Luis Obispo,"47,116",59,24,193,0,146,245,44
37.562992,-122.325525,San Mateo,"104,306",109,34,266,2,191,726,8
37.962146999999995,-122.345525,San Pablo,"30,290",48,17,230,2,107,395,6
37.973535999999996,-122.53108600000002,San Rafael,"59,598",63,23,236,0,124,267,10
37.779928000000005,-121.97801399999999,San Ramon,"76,081",65,16,27,0,10,146,9
37.354108000000004,-121.95523600000001,Santa Clara,"123,562",143,57,156,1,64,583,10
34.953033000000005,-120.43571899999999,Santa Maria,"104,355",114,49,463,13,267,595,7
34.019453000000006,-118.491192,Santa Monica,"93,796",203,170,445,1,230,660,24
37.859094,-122.48525,Sausalito,"7,182",18,5,14,1,11,22,1
33.819361,-118.366647,Seaside,"34,459",37,10,97,0,63,92,5
36.570783,-119.612075,Selma,"24,532",33,9,188,4,134,208,0
35.500514,-119.271775,Shafter,"17,690",22,11,63,1,45,180,14
34.161671999999996,-118.052847,Sierra Madre,"11,226",15,3,11,0,7,48,2
33.804460999999996,-118.167847,Signal Hill,"11,655",32,12,58,1,20,102,2
32.991156,-117.271147,Soledad,"25,170",17,2,53,3,43,105,4
37.654656,-122.40775,South San Francisco,"67,843",81,29,157,1,84,314,13
38.505241999999996,-122.470386,St. Helena,"6,028",12,5,9,0,8,19,0
37.957703,-121.29078100000001,Stockton,"304,890",389,182,"4,122",49,"2,794","2,891",103
38.238246999999994,-122.040244,Suisun City,"29,539",19,10,81,1,55,120,5
37.368831,-122.03635,Sunnyvale,"152,443",214,70,158,1,67,545,9
35.142466999999996,-119.45650800000001,Taft,"8,819",72,8,58,0,50,79,0
35.132189000000004,-118.448975,Tehachapi,"12,971",15,3,44,0,31,109,0
37.73965,-121.42522199999999,Tracy,"86,477",83,39,154,1,85,272,25
36.207728,-119.34733899999999,Tulare,"62,475",71,38,303,10,231,398,0
39.150172,-123.207783,Ukiah,"15,969",32,17,153,1,114,150,7
37.593392,-122.04383100000001,Union City,"74,648",73,24,265,3,172,305,6
34.097511,-117.648389,Upland,"76,581",67,24,232,4,128,570,3
38.356578000000006,-121.98774399999999,Vacaville,"96,693",96,53,249,0,132,236,15
38.104085999999995,-122.25663600000001,Vallejo,"121,257",108,37,"1,031",18,560,"2,352",40
34.274639,-119.22900600000001,Ventura,"110,077",126,39,374,2,195,598,11
36.330228000000005,-119.29205800000001,Visalia,"130,405",138,64,608,6,366,814,11
37.910078000000006,-122.065183,Walnut Creek,"68,530",81,30,91,1,60,342,4
36.910231,-121.75689399999999,Watsonville,"53,581",66,22,303,4,162,254,4
41.42265,-122.386128,Weed,"2,836",9,5,31,1,23,23,0
34.068622,-117.938953,West Covina,"109,030",89,61,263,2,149,400,10
33.751342,-117.99399199999999,Westminster,"92,640",86,33,303,1,162,502,6
38.580461,-121.53023300000001,West Sacramento,"52,622",58,18,311,2,198,256,6
39.009894,-121.423014,Wheatland,"3,482",7,0,1,0,1,14,0
39.409608,-123.355567,Willits,"4,856",11,5,66,0,60,15,2
39.524325,-122.193592,Willows,"6,074",8,1,40,0,31,24,2
38.524906,-121.970803,Winters,"7,023",11,2,24,0,21,17,1
38.678517,-121.773297,Woodland,"57,911",62,15,265,1,197,326,15
41.735419,-122.634472,Yreka,"7,507",13,6,47,1,38,85,1
39.140446999999995,-121.61691100000002,Yuba City,"65,974",54,24,216,0,122,429,14
